"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0164","Seed processing for propagation","","A0164","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A017","Hunting, trapping and related service activities","","A017","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0170","Hunting, trapping and related service activities","","A0170","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A02","Forestry and logging","","A02","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A021","Silviculture and other forestry activities","","A021","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0210","Silviculture and other forestry activities","","A0210","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A022","Logging","","A022","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0220","Logging","","A0220","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A023","Gathering of wild growing non-wood products","","A023","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0230","Gathering of wild growing non-wood products","","A0230","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A024","Support services to forestry","","A024","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0240","Support services to forestry","","A0240","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A03","Fishing and aquaculture","","A03","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A031","Fishing","","A031","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0311","Marine fishing","","A0311","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0312","Freshwater fishing","","A0312","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A032","Aquaculture","","A032","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0321","Marine aquaculture","","A0321","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/A0322","Freshwater aquaculture","","A0322","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/TOT_INN","Innovation core activities (Com.Reg. 1450/2004)","","TOT_INN","invalid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-U","Industry, construction and services","","B-U","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-T","Industry, construction and services (except extra-territorial organisations and bodies)","","B-T","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B-S","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","","B-S","valid","2013-07-25"
