AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-03-02 01:00:00,12821685,1.0
2.0,2020-03-02 01:00:00,12824677,1.0
1.0,2020-03-02 01:00:00,12825051,1.0
1.0,2020-03-02 01:00:00,12825425,1.0
1.0,2020-03-02 01:00:00,12825426,0.0
2.0,2020-03-02 01:00:00,12826547,1.0
1.0,2020-03-02 01:00:00,12832905,1.0
1.0,2020-03-02 01:00:00,12833279,1.0
1.0,2020-03-02 01:00:00,12834775,1.0
1.0,2020-03-02 01:00:00,12835149,1.0
1.0,2020-03-02 01:00:00,12836645,1.0
1.0,2020-03-02 01:00:00,12837019,1.0
1.0,2020-03-02 01:00:00,12837393,1.0
2.0,2020-03-02 01:00:00,12837767,1.0
1.0,2020-03-02 01:00:00,12838141,1.0
1.0,2020-03-02 01:00:00,12838515,1.0
1.0,2020-03-02 01:00:00,12840759,1.0
1.0,2020-03-02 01:00:00,12841133,1.0
2.0,2020-03-02 01:00:00,12841507,1.0
4.0,2020-03-02 01:00:00,12841881,1.0
2.0,2020-03-02 01:00:00,12842255,1.0
1.0,2020-03-02 01:00:00,12842629,1.0
2.0,2020-03-02 01:00:00,12843003,1.0
3.0,2020-03-02 01:00:00,12843377,1.0
1.0,2020-03-02 01:00:00,12844125,1.0
2.0,2020-03-02 01:00:00,12844499,1.0
1.0,2020-03-02 01:00:00,12844873,1.0
1.0,2020-03-02 01:00:00,12846369,1.0
1.0,2020-03-02 01:00:00,12846743,1.0
1.0,2020-03-02 01:00:00,12847117,1.0
1.0,2020-03-02 01:00:00,12847865,1.0
1.0,2020-03-02 01:00:00,12851231,1.0
2.0,2020-03-02 01:00:00,12854223,1.0
2.0,2020-03-02 01:00:00,12857215,1.0
1.0,2020-03-02 01:00:00,12857963,1.0
1.0,2020-03-02 01:00:00,12858338,0.0
1.0,2020-03-02 01:00:00,12858711,1.0
1.0,2020-03-02 01:00:00,12860207,1.0
1.0,2020-03-02 01:00:00,12865817,1.0
1.0,2020-03-02 01:00:00,12872175,1.0
1.0,2020-03-02 01:00:00,12872923,1.0
1.0,2020-03-03 01:00:00,12722577,1.0
1.0,2020-03-03 01:00:00,12724073,1.0
1.0,2020-03-03 01:00:00,12724821,1.0
7.0,2020-03-03 01:00:00,12725195,1.0
2.0,2020-03-03 01:00:00,12725196,0.0
1.0,2020-03-03 01:00:00,12725569,1.0
3.0,2020-03-03 01:00:00,12729309,1.0
1.0,2020-03-03 01:00:00,12731553,1.0
1.0,2020-03-03 01:00:00,12732301,1.0
1.0,2020-03-03 01:00:00,12733423,1.0
1.0,2020-03-03 01:00:00,12733797,1.0
