AnzahlFall,Datum,FID,IstErkrankungsbeginn
4.0,2020-05-15 02:00:00,12788173,1.0
4.0,2020-05-15 02:00:00,12788174,0.0
1.0,2020-05-15 02:00:00,12788921,1.0
2.0,2020-05-15 02:00:00,12788922,0.0
2.0,2020-05-15 02:00:00,12789669,1.0
1.0,2020-05-15 02:00:00,12789670,0.0
1.0,2020-05-15 02:00:00,12790791,1.0
1.0,2020-05-15 02:00:00,12790792,0.0
4.0,2020-05-15 02:00:00,12791913,1.0
1.0,2020-05-15 02:00:00,12791914,0.0
1.0,2020-05-15 02:00:00,12793035,1.0
4.0,2020-05-15 02:00:00,12793410,0.0
1.0,2020-05-15 02:00:00,12793784,0.0
6.0,2020-05-15 02:00:00,12794158,0.0
1.0,2020-05-15 02:00:00,12794531,1.0
1.0,2020-05-15 02:00:00,12794906,0.0
1.0,2020-05-15 02:00:00,12795653,1.0
3.0,2020-05-15 02:00:00,12796775,1.0
1.0,2020-05-15 02:00:00,12797150,0.0
1.0,2020-05-15 02:00:00,12797523,1.0
2.0,2020-05-15 02:00:00,12799394,0.0
2.0,2020-05-15 02:00:00,12799767,1.0
1.0,2020-05-15 02:00:00,12799768,0.0
1.0,2020-05-15 02:00:00,12800142,0.0
1.0,2020-05-15 02:00:00,12800515,1.0
1.0,2020-05-15 02:00:00,12800890,0.0
2.0,2020-05-15 02:00:00,12801263,1.0
3.0,2020-05-15 02:00:00,12802759,1.0
6.0,2020-05-15 02:00:00,12803133,1.0
12.0,2020-05-15 02:00:00,12803134,0.0
1.0,2020-05-15 02:00:00,12803508,0.0
3.0,2020-05-15 02:00:00,12804256,0.0
1.0,2020-05-15 02:00:00,12805003,1.0
1.0,2020-05-15 02:00:00,12805004,0.0
2.0,2020-05-15 02:00:00,12805378,0.0
1.0,2020-05-15 02:00:00,12806126,0.0
1.0,2020-05-15 02:00:00,12806499,1.0
2.0,2020-05-15 02:00:00,12806874,0.0
1.0,2020-05-15 02:00:00,12807248,0.0
2.0,2020-05-15 02:00:00,12807622,0.0
5.0,2020-05-15 02:00:00,12807995,1.0
1.0,2020-05-15 02:00:00,12809491,1.0
1.0,2020-05-15 02:00:00,12809492,0.0
4.0,2020-05-15 02:00:00,12809865,1.0
3.0,2020-05-15 02:00:00,12809866,0.0
1.0,2020-05-15 02:00:00,12810240,0.0
1.0,2020-05-15 02:00:00,12810614,0.0
2.0,2020-05-15 02:00:00,12810987,1.0
3.0,2020-05-15 02:00:00,12812110,0.0
1.0,2020-05-15 02:00:00,12812483,1.0
2.0,2020-05-15 02:00:00,12812484,0.0
1.0,2020-05-15 02:00:00,12813231,1.0
1.0,2020-05-15 02:00:00,12813605,1.0
1.0,2020-05-15 02:00:00,12814728,0.0
1.0,2020-05-15 02:00:00,12815101,1.0
2.0,2020-05-15 02:00:00,12815102,0.0
2.0,2020-05-15 02:00:00,12815476,0.0
1.0,2020-05-15 02:00:00,12816223,1.0
1.0,2020-05-15 02:00:00,12816224,0.0
1.0,2020-05-15 02:00:00,12816972,0.0
2.0,2020-05-15 02:00:00,12817720,0.0
1.0,2020-05-15 02:00:00,12818094,0.0
2.0,2020-05-15 02:00:00,12818841,1.0
19.0,2020-05-15 02:00:00,12818842,0.0
2.0,2020-05-15 02:00:00,12819216,0.0
1.0,2020-05-15 02:00:00,12819964,0.0
3.0,2020-05-15 02:00:00,12820337,1.0
1.0,2020-05-15 02:00:00,12820711,1.0
2.0,2020-05-15 02:00:00,12821086,0.0
1.0,2020-05-15 02:00:00,12821459,1.0
5.0,2020-05-15 02:00:00,12821833,1.0
1.0,2020-05-15 02:00:00,12822208,0.0
1.0,2020-05-15 02:00:00,12822581,1.0
1.0,2020-05-15 02:00:00,12822582,0.0
8.0,2020-05-15 02:00:00,12823704,0.0
1.0,2020-05-15 02:00:00,12824452,0.0
1.0,2020-05-15 02:00:00,12825573,1.0
1.0,2020-05-15 02:00:00,12825574,0.0
3.0,2020-05-15 02:00:00,12826321,1.0
3.0,2020-05-15 02:00:00,12826322,0.0
1.0,2020-05-15 02:00:00,12826695,1.0
1.0,2020-05-15 02:00:00,12826696,0.0
1.0,2020-05-15 02:00:00,12828566,0.0
1.0,2020-05-15 02:00:00,12829313,1.0
1.0,2020-05-15 02:00:00,12830061,1.0
1.0,2020-05-15 02:00:00,12830436,0.0
1.0,2020-05-15 02:00:00,12832679,1.0
1.0,2020-05-15 02:00:00,12833428,0.0
1.0,2020-05-15 02:00:00,12836420,0.0
1.0,2020-05-15 02:00:00,12837167,1.0
3.0,2020-05-15 02:00:00,12838664,0.0
1.0,2020-05-15 02:00:00,12839412,0.0
2.0,2020-05-15 02:00:00,12840907,1.0
1.0,2020-05-15 02:00:00,12841281,1.0
1.0,2020-05-15 02:00:00,12841655,1.0
1.0,2020-05-15 02:00:00,12841656,0.0
2.0,2020-05-15 02:00:00,12842029,1.0
2.0,2020-05-15 02:00:00,12842403,1.0
2.0,2020-05-15 02:00:00,12842404,0.0
3.0,2020-05-15 02:00:00,12842777,1.0
4.0,2020-05-15 02:00:00,12843525,1.0
1.0,2020-05-15 02:00:00,12844274,0.0
1.0,2020-05-15 02:00:00,12844648,0.0
2.0,2020-05-15 02:00:00,12846517,1.0
2.0,2020-05-15 02:00:00,12850257,1.0
