country,date,type,geo,population,newHospitalizations,deaths,cases,cases_national,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_cases,past_average_new_cases,past_average_new_cases_national,measure_H1_H2_cases,measure_H3_cases,cases_national_JHU,new_cases_national_JHU,past_average_new_cases_national_JHU,measure_H1_H2_cases_JHU,past_average_national_new_cases,policy_active,hetero,hetero_mean,differentiating,hhi_cumulative,hhi_new
France,2020-01-01,Lockdown,FRK,8005882,NA,NA,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-01,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-01,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
France,2020-01-01,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,NA,NA,67012883,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0
France,2020-01-02,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-02,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-02,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-02,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-03,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-03,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-03,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-03,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-04,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-04,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-04,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-04,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-05,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-05,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-05,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-05,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-06,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-06,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-06,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-06,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-07,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-07,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-07,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-07,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-08,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-08,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-08,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-08,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-09,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-09,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-09,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-09,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-10,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-10,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-10,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-10,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-11,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-11,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-11,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-11,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-12,Primary Schools (generally for children ages 10 and below),FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-12,Wearing Masks inside public or commercial building,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
France,2020-01-12,Restrictions of Mass Gatherings,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-12,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
France,2020-01-13,Lockdown,FRK,8005882,NA,NA,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
