country,date,type,geo,population,newHospitalizations,deaths,cases,cases_national,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_cases,past_average_new_cases,past_average_new_cases_national,measure_H1_H2_cases,measure_H3_cases,cases_national_JHU,new_cases_national_JHU,past_average_new_cases_national_JHU,measure_H1_H2_cases_JHU,past_average_national_new_cases,policy_active,hetero,hetero_mean,differentiating,hhi_cumulative,hhi_new
France,2020-04-17,Wearing Masks inside public or commercial building,FRK,8005882,220,954,7556,76945,199,1913,67012883,9.4380606658954e-4,0.0011482120534942511,-2.0440598690471112e-4,0.09820001299629605,0.10402509147935181,0.009643242552472713,0.010821219657287513,7505.714285714285,7032.857142857143,154.71428571428572,170.57142857142858,1746.5714285714287,0.002606321874812383,0.8174647849411317,146923,1979,282.7142857142857,4.218804997753726e-4,1746.5714285714287,0,0,0,0,0.198921595070403,0.207760258106897
France,2020-04-17,Restrictions of Mass Gatherings,FRK,8005882,220,954,7556,76945,199,1913,67012883,9.4380606658954e-4,0.0011482120534942511,-2.0440598690471112e-4,0.09820001299629605,0.10402509147935181,0.009643242552472713,0.010821219657287513,7505.714285714285,7032.857142857143,154.71428571428572,170.57142857142858,1746.5714285714287,0.002606321874812383,0.8174647849411317,146923,1979,282.7142857142857,4.218804997753726e-4,1746.5714285714287,1,0,0,1,0.198921595070403,0.207760258106897
France,2020-04-17,Primary Schools (generally for children ages 10 and below),FRK,8005882,220,954,7556,76945,199,1913,67012883,9.4380606658954e-4,0.0011482120534942511,-2.0440598690471112e-4,0.09820001299629605,0.10402509147935181,0.009643242552472713,0.010821219657287513,7505.714285714285,7032.857142857143,154.71428571428572,170.57142857142858,1746.5714285714287,0.002606321874812383,0.8174647849411317,146923,1979,282.7142857142857,4.218804997753726e-4,1746.5714285714287,0,0,0,0,0.198921595070403,0.207760258106897
France,2020-04-17,Lockdown,FRK,8005882,220,954,7556,76945,199,1913,67012883,9.4380606658954e-4,0.0011482120534942511,-2.0440598690471112e-4,0.09820001299629605,0.10402509147935181,0.009643242552472713,0.010821219657287513,7505.714285714285,7032.857142857143,154.71428571428572,170.57142857142858,1746.5714285714287,0.002606321874812383,0.8174647849411317,146923,1979,282.7142857142857,4.218804997753726e-4,1746.5714285714287,1,0,0,1,0.198921595070403,0.207760258106897
France,2020-04-18,Restrictions of Mass Gatherings,FRK,8005882,198,992,7731,78326,175,1381,67012883,9.656649948125641e-4,0.0011688200312169827,-2.0315503640441854e-4,0.09870285728876746,0.12671976828385229,0.009742254036966795,0.016057899673913214,7663.285714285715,7194.857142857143,157.57142857142858,162,1690.4285714285713,0.002522542675008582,0.8021716471610408,146906,-17,-2.4285714285714284,-3.624036632734378e-6,1690.4285714285716,1,0,0,1,0.198706883784594,0.189441268985681
France,2020-04-18,Lockdown,FRK,8005882,198,992,7731,78326,175,1381,67012883,9.656649948125641e-4,0.0011688200312169827,-2.0315503640441854e-4,0.09870285728876746,0.12671976828385229,0.009742254036966795,0.016057899673913214,7663.285714285715,7194.857142857143,157.57142857142858,162,1690.4285714285713,0.002522542675008582,0.8021716471610408,146906,-17,-2.4285714285714284,-3.624036632734378e-6,1690.4285714285716,1,0,0,1,0.198706883784594,0.189441268985681
France,2020-04-18,Wearing Masks inside public or commercial building,FRK,8005882,198,992,7731,78326,175,1381,67012883,9.656649948125641e-4,0.0011688200312169827,-2.0315503640441854e-4,0.09870285728876746,0.12671976828385229,0.009742254036966795,0.016057899673913214,7663.285714285715,7194.857142857143,157.57142857142858,162,1690.4285714285713,0.002522542675008582,0.8021716471610408,146906,-17,-2.4285714285714284,-3.624036632734378e-6,1690.4285714285716,0,0,0,0,0.198706883784594,0.189441268985681
France,2020-04-18,Primary Schools (generally for children ages 10 and below),FRK,8005882,198,992,7731,78326,175,1381,67012883,9.656649948125641e-4,0.0011688200312169827,-2.0315503640441854e-4,0.09870285728876746,0.12671976828385229,0.009742254036966795,0.016057899673913214,7663.285714285715,7194.857142857143,157.57142857142858,162,1690.4285714285713,0.002522542675008582,0.8021716471610408,146906,-17,-2.4285714285714284,-3.624036632734378e-6,1690.4285714285716,0,0,0,0,0.198706883784594,0.189441268985681
France,2020-04-19,Wearing Masks inside public or commercial building,FRK,8005882,112,1011,7827,79119,96,793,67012883,9.776561782949087e-4,0.0011806535767159875,-2.029973984210788e-4,0.09892693284798847,0.1210592686002522,0.00978653804271042,0.014655346514028009,7805.571428571428,7351,142.28571428571428,156.14285714285714,1573.5714285714287,0.002348162559386422,0.8305863281861321,151808,4902,700.2857142857143,0.0010450016219802308,1573.5714285714287,0,0,0,0,0.198490266653695,0.182535075988035
France,2020-04-19,Restrictions of Mass Gatherings,FRK,8005882,112,1011,7827,79119,96,793,67012883,9.776561782949087e-4,0.0011806535767159875,-2.029973984210788e-4,0.09892693284798847,0.1210592686002522,0.00978653804271042,0.014655346514028009,7805.571428571428,7351,142.28571428571428,156.14285714285714,1573.5714285714287,0.002348162559386422,0.8305863281861321,151808,4902,700.2857142857143,0.0010450016219802308,1573.5714285714287,1,0,0,1,0.198490266653695,0.182535075988035
France,2020-04-19,Lockdown,FRK,8005882,112,1011,7827,79119,96,793,67012883,9.776561782949087e-4,0.0011806535767159875,-2.029973984210788e-4,0.09892693284798847,0.1210592686002522,0.00978653804271042,0.014655346514028009,7805.571428571428,7351,142.28571428571428,156.14285714285714,1573.5714285714287,0.002348162559386422,0.8305863281861321,151808,4902,700.2857142857143,0.0010450016219802308,1573.5714285714287,1,0,0,1,0.198490266653695,0.182535075988035
France,2020-04-19,Primary Schools (generally for children ages 10 and below),FRK,8005882,112,1011,7827,79119,96,793,67012883,9.776561782949087e-4,0.0011806535767159875,-2.029973984210788e-4,0.09892693284798847,0.1210592686002522,0.00978653804271042,0.014655346514028009,7805.571428571428,7351,142.28571428571428,156.14285714285714,1573.5714285714287,0.002348162559386422,0.8305863281861321,151808,4902,700.2857142857143,0.0010450016219802308,1573.5714285714287,0,0,0,0,0.198490266653695,0.182535075988035
