record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,type_quarantine_days,type_mass_gathering,type_who_gen,source_corr_type,school_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date,country_overwrite,missingDum,orphanDum,gov
R_22VUSewMrnA6ZBrAh,6547663,update,original,Change of Policy,Strengthening,"Germany: On March 16th the federal government decided to prohibit all gatherings in  events or gatherings. This also refers to club meetings and church services. 

04.15.2020: this policy wasn't suspended but prolonged until further notice UPDATE: Prolonged until further notice",2020-04-15,2020-04-15,2020-08-31,Germany,DEU,DE,National,0,NA,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,NA,No special population targeted,NA,NA,Germany,NA,NA,NA,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",54.90753319443338,53.35714384220995,52.111816503815575,115,https://www.bundesregierung.de/breg-de/aktuelles/vereinbarung-zwischen-der-bundesregierung-und-den-regierungschefinnen-und-regierungschefs-der-bundeslaender-angesichts-der-corona-epidemie-in-deutschland-1730934,2020-07-23,2020-07-23T15:07:37Z,0,0,0,Germany
R_Ca8mtdtQ8uS2I93Ah,6547663,update,original,End of Policy,Strengthening,"Germany: On March 16th the federal government decided to prohibit all gatherings in  events or gatherings. This also refers to club meetings and church services. 

May 6th: 
Further decisions on relaxations are to be made by the states. The federal government hands the responsibility over. UPDATE: The further relaxation of the measures has to be decided by the states. The federal government hands the resposiblity over.",2020-05-06,2020-05-06,2020-08-31,Germany,DEU,DE,National,0,NA,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,NA,No special population targeted,NA,NA,Germany,NA,NA,NA,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",NA,NA,NA,NA,https://www.bundesregierung.de/breg-de/aktuelles/vereinbarung-zwischen-der-bundesregierung-und-den-regierungschefinnen-und-regierungschefs-der-bundeslaender-angesichts-der-corona-epidemie-in-deutschland-1730934,2020-07-23,2020-07-23T15:14:35Z,0,0,0,Germany
R_3rHuIhkSsPzEOrYNA,7577620,new_entry,correction,NA,NA,"As of April 17 Lower Saxony (Germany) prohibits events, meetings and similar gatherings of people with 1 000 or more participants, spectators and listeners (major events) shall remain prohibited at least until the end of 31 August 2020; attendance at these major events shall also be prohibited",2020-04-17,2020-04-17,2020-08-31,Germany,DEU,DE,Provincial,0,Lower Saxony,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,NA,Use the old source,NA,Germany,NA,NA,Lower Saxony,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,54.57113249828434,53.33389655904267,52.09931969993169,114,https://www.niedersachsen.de/download/154568,2020-07-15,2020-07-15T05:30:54Z,0,0,0,Lower Saxony
R_2QWgWlBaPGDfpUCNA,9010893,update,original,End of Policy,NA,"From March 4, 2020, France has banned all gatherings of more than 5000 people in confined spaces extended at least until May 31, 2020. UPDATE: The original policy was extended until the end of August.",2020-02-29,2020-03-04,2020-08-31,France,FRA,FR,National,0,NA,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,5000,NA,NA,NA,France,NA,NA,NA,NA,NA,13,NA,NA,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government,Police",50.69714600315794,49.489421077019294,48.12525115993195,92,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041686833&dateTexte=&categorieLien=id,2020-05-08,2020-05-08T13:33:21Z,0,0,1,France
R_28YRziizw7ZZOfjNA,9887956,new_entry,original,NA,NA,"In the German state of Saarland, as of May 8, events with over 1,000 people are prohibited until August 31.",2020-05-08,2020-05-08,2020-10-31,Germany,DEU,DE,Provincial,1,Saarland,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,1000,No special population targeted,NA,NA,Germany,NA,NA,Saarland,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://corona.saarland.de/EN/home/englisch_node.html,2020-07-10,2020-07-10T20:35:09Z,0,0,0,Saarland
R_OkdmE0IoSUIeBkRCi,4019392,new_entry,correction,NA,NA,"The state government of Hesse (Germany) announced, that from June 22nd onwards, mouth-and-nose protection will also have to be worn in train stations and airports in Hessen.",2020-06-10,2020-06-10,2020-08-16,Germany,DEU,DE,Provincial,1,Hesse,NA,Social Distancing,Other Mask Wearing Policy,NA,NA,NA,No special population targeted,Use the old source,NA,Germany,NA,NA,Hesse,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,"National Government,Provincial/State Government",NA,NA,NA,NA,https://www.hessen.de/presse/pressemitteilung/landesregierung-beschliesst-weitere-regelungen,2020-07-20,2020-07-20T16:45:59Z,0,0,0,Hesse
R_3NONMqMANTydmxnNA,9861723,update,original,End of Policy,NA,"In Italy, the region of Sicily makes wearing masks in public transport obligatory starting April 24. The policy ended on August 13th in favor of a more general mask mandate in all public spaces. UPDATE: The policy ended on August 13th in favor of a mask mandate for all public spaces.",2020-04-24,2020-04-24,2020-08-13,Italy,ITA,IT,Provincial,0,Sicily,NA,Social Distancing,Other Mask Wearing Policy,Wearing masks in transport,NA,NA,NA,Use the old source,NA,Italy,A geographical or administrative unit within a country,NA,Sicily,NA,NA,13,NA,All kinds of transport,Mandatory (Unspecified/Implied),Provincial/State Government,58.22550239856024,53.56785588578205,50.04414075133104,122,https://gds.it/articoli/cronaca/2020/04/24/trasporti-cosa-cambia-nella-fase-2-le-nuove-regole-per-luso-dei-mezzi-pubblici-7b7b2ac9-033c-48d2-8fc8-2dc393bfc142/,2020-08-19,2020-08-19T00:03:41Z,0,0,0,Sicily
R_10AXgJwIf5LSxz2NA,5169904,update,original,Change of Policy,Both Strengthening and Relaxing,"Events larger than 250 (since 20.7. 500) persons are banned. Requirements are a hygiene concept, no open buffets, no dancing and no activities with an increased emission of droplets such as singing or the use of air instruments. Only solo performances are allowed with distance to the spectators.
Events in the public space with group activities where participants are not seated at for most of the time and where participants remain the same may only be held outside and not exceed 50 (since 20.7. 150 persons outside, 50 persons inside). Contact data has to be collected.
Markets/fairs… in the public may only be helf outside and not exceed 100 persons at a time (after 29.6.: 250 outside, 100 inside, after 20.7.: 500 outside, 250 inside). Alcohol may not be served. Weekly markets are not affected by these rules.
Events where participants are seated most of the time such as concerts, lectures, or cinemas may not exceed 250 (after 20.7.: 500) people outside and 100 (after 20.7. 250) Contact data of participants has to be stored.
Events in private houses are not allowed if they exceed the general social distancing rules until 28.6.
These rules do not hold for events necessary for the public safety and order, legislation, social security, or for events necessary for business reasons, or exams, or care work, or elections. UPDATE: policy prolonged and relaxed",2020-07-16,2020-07-20,2020-08-30,Germany,DEU,DE,Provincial,1,Schleswig-Holstein,NA,Restrictions of Mass Gatherings,All/Unspecified mass gatherings,NA,NA,500,No special population targeted,Use the old source,NA,Germany,NA,NA,Schleswig-Holstein,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,Police,NA,NA,NA,NA,https://transparenz.schleswig-holstein.de/,2020-07-23,2020-07-23T23:37:47Z,0,0,1,Schleswig-Holstein
R_2zHKFJEx5pMzQioEt,2673277,update,original,Change of Policy,Strengthening,"The previous recommendation of the government to wear a face mask in public and the obligation to wear it in public services and retail businesses was set until May, 3rd. This was extended to May 20th. Now, it has been extended once more until June 5th. Beyond that, worship services, funerals, mourning ceremonies and marriage ceremonies are permitted if the rules of distance are complied with. Beside providing to maintain a minimum distance of 1.5 metres throughout the meeting, participants must use a mouth-and-nose cover, and it must be ensured that the protection of the rest of the population is respected by maintaining safe distances between the meeting and other public spaces. Also the permission of opening driving, flying and boat schools is linked to the requirement of wearing a face mask. This was extended upon June 29th and once again upon July 17th. UPDATE: The recommendation to cover one's mouth and nose when using public transport, coaches and regular transport services as well as in the retail trade and are prolonged once more from June 29th to July 17th.",2020-04-17,2020-04-20,2020-07-17,Germany,DEU,DE,Provincial,0,Saxony,NA,Social Distancing,Wearing Masks inside public or commercial building,NA,NA,NA,No special population targeted,NA,NA,Germany,NA,NA,Saxony,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",55.38151173259997,53.29782067975011,51.56702640502544,111,https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html?_cp=%7B%22accordion-content-6511%22%3A%7B%2210%22%3Atrue%2C%2212%22%3Atrue%2C%2213%22%3Atrue%2C%2214%22%3Atrue%2C%2215%22%3Atrue%2C%2216%22%3Atrue%7D%2C%22previousOpen%22%3A%7B%22group%22%3A%22accordion-content-6511%22%2C%22idx%22%3A13%7D%7D,2020-07-15,2020-07-15T18:54:05Z,0,0,0,Saxony
R_2zHKFJEx5pMzQioCi,2673277,update,original,Change of Policy,Strengthening,"The previous recommendation of the government to wear a face mask in public and the obligation to wear it in public services and retail businesses was set until May, 3rd. This was extended to May 20th. Now, it has been extended once more until June 5th. Beyond that, worship services, funerals, mourning ceremonies and marriage ceremonies are permitted if the rules of distance are complied with. Beside providing to maintain a minimum distance of 1.5 metres throughout the meeting, participants must use a mouth-and-nose cover, and it must be ensured that the protection of the rest of the population is respected by maintaining safe distances between the meeting and other public spaces. Also the permission of opening driving, flying and boat schools is linked to the requirement of wearing a face mask. This was extended upon June 29th and once again upon July 17th. UPDATE: The recommendation to cover one's mouth and nose when using public transport, coaches and regular transport services as well as in the retail trade and are prolonged once more from June 29th to July 17th.",2020-04-17,2020-04-20,2020-07-17,Germany,DEU,DE,Provincial,0,Saxony,NA,Social Distancing,Other Mask Wearing Policy,NA,NA,NA,No special population targeted,NA,NA,Germany,NA,NA,Saxony,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",55.38151173259997,53.29782067975011,51.56702640502544,111,https://www.coronavirus.sachsen.de/amtliche-bekanntmachungen.html?_cp=%7B%22accordion-content-6511%22%3A%7B%2210%22%3Atrue%2C%2212%22%3Atrue%2C%2213%22%3Atrue%2C%2214%22%3Atrue%2C%2215%22%3Atrue%2C%2216%22%3Atrue%7D%2C%22previousOpen%22%3A%7B%22group%22%3A%22accordion-content-6511%22%2C%22idx%22%3A13%7D%7D,2020-07-15,2020-07-15T18:54:05Z,0,0,0,Saxony
