country,date,type,hetero_mean
France,2020-07-06,Lockdown,0
France,2020-07-07,Lockdown,0
France,2020-07-08,Lockdown,0
France,2020-07-09,Lockdown,0
France,2020-07-10,Lockdown,0
France,2020-07-11,Lockdown,0
France,2020-07-12,Lockdown,0
France,2020-07-13,Lockdown,0
France,2020-07-14,Lockdown,0
France,2020-07-15,Lockdown,0
France,2020-07-16,Lockdown,0
France,2020-07-17,Lockdown,0
France,2020-07-18,Lockdown,0
France,2020-07-19,Lockdown,0
France,2020-07-20,Lockdown,0
France,2020-07-21,Lockdown,0
France,2020-07-22,Lockdown,0
Germany,2020-01-01,Lockdown,0
Germany,2020-01-02,Lockdown,0
Germany,2020-01-03,Lockdown,0
Germany,2020-01-04,Lockdown,0
Germany,2020-01-05,Lockdown,0
Germany,2020-01-06,Lockdown,0
Germany,2020-01-07,Lockdown,0
Germany,2020-01-08,Lockdown,0
Germany,2020-01-09,Lockdown,0
Germany,2020-01-10,Lockdown,0
Germany,2020-01-11,Lockdown,0
Germany,2020-01-12,Lockdown,0
Germany,2020-01-13,Lockdown,0
Germany,2020-01-14,Lockdown,0
Germany,2020-01-15,Lockdown,0
Germany,2020-01-16,Lockdown,0
Germany,2020-01-17,Lockdown,0
Germany,2020-01-18,Lockdown,0
Germany,2020-01-19,Lockdown,0
Germany,2020-01-20,Lockdown,0
Germany,2020-01-21,Lockdown,0
Germany,2020-01-22,Lockdown,0
Germany,2020-01-23,Lockdown,0
Germany,2020-01-24,Lockdown,0
Germany,2020-01-25,Lockdown,0
Germany,2020-01-26,Lockdown,0
Germany,2020-01-27,Lockdown,0
Germany,2020-01-28,Lockdown,0
Germany,2020-01-29,Lockdown,0
Germany,2020-01-30,Lockdown,0
Germany,2020-01-31,Lockdown,0
Germany,2020-02-01,Lockdown,0
Germany,2020-02-02,Lockdown,0
Germany,2020-02-03,Lockdown,0
Germany,2020-02-04,Lockdown,0
Germany,2020-02-05,Lockdown,0
Germany,2020-02-06,Lockdown,0
Germany,2020-02-07,Lockdown,0
Germany,2020-02-08,Lockdown,0
Germany,2020-02-09,Lockdown,0
Germany,2020-02-10,Lockdown,0
Germany,2020-02-11,Lockdown,0
Germany,2020-02-12,Lockdown,0
Germany,2020-02-13,Lockdown,0
Germany,2020-02-14,Lockdown,0
Germany,2020-02-15,Lockdown,0
Germany,2020-02-16,Lockdown,0
Germany,2020-02-17,Lockdown,0
Germany,2020-02-18,Lockdown,0
Germany,2020-02-19,Lockdown,0
Germany,2020-02-20,Lockdown,0
Germany,2020-02-21,Lockdown,0
Germany,2020-02-22,Lockdown,0
Germany,2020-02-23,Lockdown,0
Germany,2020-02-24,Lockdown,0
Germany,2020-02-25,Lockdown,0
Germany,2020-02-26,Lockdown,0
Germany,2020-02-27,Lockdown,0
Germany,2020-02-28,Lockdown,0
Germany,2020-02-29,Lockdown,0
Germany,2020-03-01,Lockdown,0
Germany,2020-03-02,Lockdown,0
Germany,2020-03-03,Lockdown,0
Germany,2020-03-04,Lockdown,0
Germany,2020-03-05,Lockdown,0
Germany,2020-03-06,Lockdown,0
Germany,2020-03-07,Lockdown,0
Germany,2020-03-08,Lockdown,0
Germany,2020-03-09,Lockdown,0
Germany,2020-03-10,Lockdown,0
