date,region,cases,country
2020-01-01,Auvergne-Rhone-Alpes,0,France
2020-01-01,Bourgogne-Franche-Comté,0,France
2020-01-01,Brittany,0,France
2020-01-01,Centre-Val de Loire,0,France
2020-01-01,Corsica,0,France
2020-01-01,Grand Est,0,France
2020-01-01,Guadeloupe,0,France
2020-01-01,Guyane,0,France
2020-01-01,Hauts-de-France,0,France
2020-01-01,Ile-de-France,0,France
2020-01-01,La Réunion,0,France
2020-01-01,Martinique,0,France
2020-01-01,Mayotte,0,France
2020-01-01,National,0,France
2020-01-01,Normandy,0,France
2020-01-01,Nouvelle-Aquitaine,0,France
2020-01-01,Occitanie,0,France
2020-01-01,Pays de la Loire,0,France
2020-01-01,Provence-Alpes-Côte d'Azur,0,France
2020-01-01,Baden-Wuerttemberg,0,Germany
2020-01-01,Bavaria,0,Germany
2020-01-01,Berlin,0,Germany
2020-01-01,Brandenburg,0,Germany
2020-01-01,Bremen,0,Germany
2020-01-01,Hamburg,0,Germany
2020-01-01,Hesse,0,Germany
2020-01-01,Lower Saxony,0,Germany
2020-01-01,Mecklenburg-Vorpommern,0,Germany
2020-01-01,National,0,Germany
2020-01-01,North Rhine-Westphalia,0,Germany
2020-01-01,Rheinland-Pfalz,0,Germany
2020-01-01,Saarland,0,Germany
2020-01-01,Saxony,0,Germany
2020-01-01,Saxony-Anhalt,0,Germany
2020-01-01,Schleswig-Holstein,0,Germany
2020-01-01,Thuringia,0,Germany
2020-01-01,Abruzzo,0,Italy
2020-01-01,Aosta Valley,0,Italy
2020-01-01,Apulia,0,Italy
2020-01-01,Basilicate,0,Italy
2020-01-01,Calabria,0,Italy
2020-01-01,Campania,0,Italy
2020-01-01,Emilia-Romagna,0,Italy
2020-01-01,Friuli Venezia Giulia,0,Italy
2020-01-01,Lazio,0,Italy
2020-01-01,Liguria,0,Italy
2020-01-01,Lombardy,0,Italy
2020-01-01,Molise,0,Italy
2020-01-01,National,0,Italy
2020-01-01,Piedmont,0,Italy
2020-01-01,Sardinia,0,Italy
2020-01-01,Sicily,0,Italy
