date,sehr gut,gut,neutral,schlecht,sehr schlecht
2020-03-22,,0.24,0.41,0.22,
,0.04,0.16,0.44,0.27,0.09
2020-05-03,,,0.38,0.42,0.15
2020-06-07,,0.09,0.47,0.32,0.12
