date,sehr gut,gut,neutral,schlecht,sehr schlecht
2020-03-22,,0.20,0.52,0.22,
,,0.21,0.55,0.20,
2020-05-03,,0.15,0.59,0.22,
2020-06-07,,0.32,0.50,0.13,
