"","date","region","country","geo","eurostat_total_population_2019","cases","cases_national","new_cases","new_cases_national","sum_pop","measure_H1_H2_cases","measure_H3_cases","cases_national_JHU","new_cases_national_JHU","past_average_new_cases_national_JHU","measure_H1_H2_cases_JHU","deaths","deaths_national","new_deaths","new_deaths_national","deaths_pop_sub","deaths_pop_nat","past_average_new_deaths","past_average_new_deaths_national","measure_H1_H2_deaths","measure_H3_deaths_a","measure_H3_deaths_b"
"34",2020-01-01,"Thuringia","Germany","DEG",2143145,0,0,NA,NA,83019213,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"35",2020-01-01,"Abruzzo","Italy","ITF1",1311580,0,0,NA,NA,59144326,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"36",2020-01-01,"Basilicata","Italy","ITF5",562869,0,0,NA,NA,59144326,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"37",2020-01-01,"Calabria","Italy","ITF6",1947131,0,0,NA,NA,59144326,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"38",2020-01-01,"Campania","Italy","ITF3",5801692,0,0,NA,NA,59144326,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"39",2020-01-01,"Emilia-Romagna","Italy","ITH5",4459477,0,0,NA,NA,59144326,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"40",2020-01-01,"Friuli Venezia Giulia","Italy",NA,NA,0,0,NA,NA,59144326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"41",2020-01-01,"Lazio","Italy","ITI4",5879082,0,0,NA,NA,59144326,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"42",2020-01-01,"Liguria","Italy","ITC3",1550640,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"43",2020-01-01,"Lombardia","Italy","ITC4",10060574,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"44",2020-01-01,"Marche","Italy","ITI3",1525271,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"45",2020-01-01,"Molise","Italy","ITF2",305617,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"46",2020-01-01,"Piemonte","Italy","ITC1",4356406,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"47",2020-01-01,"Puglia","Italy","ITF4",4029053,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"48",2020-01-01,"Sardegna","Italy","ITG2",1639591,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"49",2020-01-01,"Sicilia","Italy","ITG1",4999891,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"50",2020-01-01,"Toscana","Italy","ITI1",3729641,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"51",2020-01-01,"Trentino-Alto Adige","Italy",NA,1072276,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"52",2020-01-01,"Umbria","Italy","ITI2",882015,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"53",2020-01-01,"Valle d'Aosta","Italy","ITC2",125666,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"54",2020-01-01,"Veneto","Italy","ITH3",4905854,0,0,NA,NA,59144326,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"55",2020-01-01,"Aargau","Switzerland","CH033",678207,0,0,NA,NA,8544527,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"56",2020-01-01,"Appenzell Ausserrhoden","Switzerland","CH053",55234,0,0,NA,NA,8544527,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"57",2020-01-01,"Appenzell Innerrhoden","Switzerland","CH054",16145,0,0,NA,NA,8544527,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"58",2020-01-01,"Basel-City","Switzerland","CH031",194766,0,0,NA,NA,8544527,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"59",2020-01-01,"Basel-Landschaft","Switzerland","CH032",288132,0,0,NA,NA,8544527,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"60",2020-01-01,"Bern","Switzerland","CH021",1034977,0,0,NA,NA,8544527,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"61",2020-01-01,"Fribourg","Switzerland","CH022",318714,0,0,NA,NA,8544527,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"62",2020-01-01,"Geneva","Switzerland","CH013",499480,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"63",2020-01-01,"Glarus","Switzerland","CH051",40403,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"64",2020-01-01,"Grisons","Switzerland","CH056",198379,0,0,NA,NA,8544527,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
