date,region,country,geo,eurostat_total_population_2019,deaths,deaths_national,new_deaths,new_deaths_national,sum_pop,deaths_pop_sub,deaths_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_deaths,past_average_new_deaths,past_average_new_deaths_national,measure_H1_H2_deaths,measure_H3_deaths_a,measure_H3_deaths_b
2020-01-01,Basilicata,Italy,ITF5,562869,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Calabria,Italy,ITF6,1947131,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Campania,Italy,ITF3,5801692,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Emilia-Romagna,Italy,ITH5,4459477,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Friuli Venezia Giulia,Italy,NA,NA,0,0,NA,NA,59144326,NA,0,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Lazio,Italy,ITI4,5879082,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Liguria,Italy,ITC3,1550640,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Lombardia,Italy,ITC4,10060574,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Marche,Italy,ITI3,1525271,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Molise,Italy,ITF2,305617,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Piemonte,Italy,ITC1,4356406,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Puglia,Italy,ITF4,4029053,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Sardegna,Italy,ITG2,1639591,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Sicilia,Italy,ITG1,4999891,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Toscana,Italy,ITI1,3729641,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,Trentino-Alto Adige,Italy,NA,1072276,0,0,NA,NA,59144326,0,0,0,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
