country,date,type,centDegStd,hubStd,hubWt,centDegRaw,hubRaw,centDegTheory,hubTheory
Switzerland,2020-04-04,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-05,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-06,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-07,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-08,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-09,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-10,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-11,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-12,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-13,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-14,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-15,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-16,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-17,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-18,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-19,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-20,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-21,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-22,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-23,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-24,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-25,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-26,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-27,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-28,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-29,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-04-30,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-01,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-02,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-03,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-04,Quarantine,0,0,0,0,0,0,0
Switzerland,2020-05-05,Quarantine,0,0,0,0,0,0,0
